Dataset,Model,Model ID,Split,Evaluation samples,Method,Failure AUROC,Failure AUPRC,Mean uncertainty,Source JSON,Accepted samples @10%,Accepted ROUGE-L @10%,Accepted METEOR @10%,Accepted failure rate @10%,Accepted samples @30%,Accepted ROUGE-L @30%,Accepted METEOR @30%,Accepted failure rate @30%,Accepted samples @50%,Accepted ROUGE-L @50%,Accepted METEOR @50%,Accepted failure rate @50%,Accepted samples @70%,Accepted ROUGE-L @70%,Accepted METEOR @70%,Accepted failure rate @70%,Accepted samples @90%,Accepted ROUGE-L @90%,Accepted METEOR @90%,Accepted failure rate @90%
PathVQA,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,,6719,Question-aligned entropy,0.681,0.7699,0.231,outputs_batch_system_qa_v1_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3.json,672,0.1064,0.1497,0.4033,2016,0.0998,0.1354,0.4648,3360,0.0968,0.1289,0.4851,4704,0.0864,0.1135,0.5438,6048,0.0763,0.0991,0.5997
PathVQA,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,,6719,Semantic AFD,0.6177,0.7063,0.2571,outputs_batch_system_qa_v1_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3.json,672,0.083,0.1075,0.5804,2016,0.0895,0.1172,0.5422,3360,0.0862,0.1133,0.5467,4704,0.0822,0.1076,0.5682,6048,0.0748,0.0975,0.6063
PathVQA,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,,6719,AFD frequency,0.5643,0.6559,0.6239,outputs_batch_system_qa_v1_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3.json,672,0.1523,0.179,0.3542,2016,0.0917,0.1128,0.5675,3360,0.0781,0.099,0.608,4704,0.0736,0.0934,0.6305,6048,0.0719,0.093,0.6258
PathVQA,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,,6719,Answer disagreement,0.5757,0.6417,0.1042,outputs_batch_system_qa_v1_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3.json,672,0.1151,0.1538,0.4018,2016,0.0987,0.1318,0.4792,3360,0.084,0.1113,0.5533,4704,0.0707,0.0927,0.6273,6048,0.07,0.0912,0.6308
PathVQA,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,,6719,Random baseline,0.5019,0.6211,0.4936,outputs_batch_system_qa_v1_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3.json,672,0.0746,0.0976,0.6086,2016,0.0753,0.096,0.6156,3360,0.0733,0.0938,0.6226,4704,0.0722,0.093,0.6244,6048,0.0713,0.0924,0.6248
PathVQA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test_full,6719,Answer disagreement,0.7154,0.8613,0.0902,outputs_pathvqa_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.4613,0.2307,0.5387,2016,0.439,0.22,0.558,3360,0.4042,0.2026,0.5893,4704,0.3699,0.1856,0.6231,6048,0.2953,0.1483,0.6948
PathVQA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test_full,6719,Question-aligned entropy,0.6476,0.8339,0.3069,outputs_pathvqa_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.3688,0.1877,0.6131,2016,0.4028,0.2024,0.5853,3360,0.3366,0.1692,0.6521,4704,0.3343,0.168,0.655,6048,0.295,0.1483,0.6946
PathVQA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test_full,6719,AFD frequency,0.6955,0.8293,0.3176,outputs_pathvqa_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.4454,0.2238,0.5506,2016,0.4332,0.2172,0.5635,3360,0.3779,0.1895,0.6167,4704,0.3608,0.1808,0.6337,6048,0.2931,0.1471,0.6981
PathVQA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test_full,6719,Semantic AFD,0.6606,0.8097,0.2769,outputs_pathvqa_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.3961,0.1997,0.5967,2016,0.3863,0.1941,0.6062,3360,0.354,0.1776,0.6381,4704,0.3331,0.1671,0.6594,6048,0.2941,0.1477,0.6964
PathVQA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test_full,6719,Random baseline,0.5014,0.7178,0.4936,outputs_pathvqa_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.2549,0.1284,0.7336,2016,0.2762,0.139,0.7133,3360,0.269,0.1353,0.7199,4704,0.2702,0.136,0.7192,6048,0.2682,0.135,0.7201
PathVQA,medgemma_4b_it,google/medgemma-4b-it,test_full,6719,Answer disagreement,0.6939,0.7865,0.0372,outputs_pathvqa_medgemma_4b_it_google_medgemma_4b_it_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.4972,0.249,0.494,2016,0.4887,0.245,0.503,3360,0.4985,0.2503,0.4917,4704,0.4752,0.2386,0.5121,6048,0.3859,0.1948,0.5956
PathVQA,medgemma_4b_it,google/medgemma-4b-it,test_full,6719,Question-aligned entropy,0.6296,0.7792,0.2688,outputs_pathvqa_medgemma_4b_it_google_medgemma_4b_it_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.33,0.1686,0.628,2016,0.4057,0.2055,0.5635,3360,0.4403,0.2226,0.5348,4704,0.4357,0.2197,0.5444,6048,0.3834,0.1936,0.5966
PathVQA,medgemma_4b_it,google/medgemma-4b-it,test_full,6719,AFD frequency,0.6863,0.7561,0.1534,outputs_pathvqa_medgemma_4b_it_google_medgemma_4b_it_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.4966,0.25,0.4881,2016,0.4584,0.2299,0.5317,3360,0.4809,0.2413,0.508,4704,0.4743,0.2381,0.5136,6048,0.385,0.1942,0.5971
PathVQA,medgemma_4b_it,google/medgemma-4b-it,test_full,6719,Semantic AFD,0.6417,0.7273,0.0995,outputs_pathvqa_medgemma_4b_it_google_medgemma_4b_it_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.4567,0.2305,0.5268,2016,0.4093,0.2056,0.5784,3360,0.4272,0.2149,0.5577,4704,0.4444,0.2238,0.5395,6048,0.3837,0.1937,0.5977
PathVQA,medgemma_4b_it,google/medgemma-4b-it,test_full,6719,Random baseline,0.5042,0.6287,0.4936,outputs_pathvqa_medgemma_4b_it_google_medgemma_4b_it_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.3586,0.1799,0.619,2016,0.3549,0.18,0.6245,3360,0.353,0.1785,0.6268,4704,0.3532,0.1788,0.6267,6048,0.3494,0.1767,0.6305
PathVQA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test_full,6719,Question-aligned entropy,0.812,0.9071,0.3205,outputs_pathvqa_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.6385,0.3234,0.3378,2016,0.6075,0.3061,0.378,3360,0.5385,0.2711,0.4488,4704,0.4482,0.226,0.5387,6048,0.3531,0.1783,0.6338
PathVQA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test_full,6719,Answer disagreement,0.8066,0.891,0.0995,outputs_pathvqa_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.564,0.282,0.436,2016,0.5888,0.2946,0.4107,3360,0.5554,0.2791,0.4372,4704,0.4476,0.2253,0.5402,6048,0.3533,0.1784,0.6334
PathVQA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test_full,6719,AFD frequency,0.7938,0.8608,0.3166,outputs_pathvqa_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.5538,0.2776,0.4449,2016,0.5856,0.2931,0.4137,3360,0.5359,0.2688,0.4592,4704,0.4444,0.2236,0.5453,6048,0.3491,0.1758,0.6399
PathVQA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test_full,6719,Semantic AFD,0.7859,0.8561,0.2955,outputs_pathvqa_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_full_N6719_K3_pathvqa_full_zero_shot_v1.json,672,0.539,0.2719,0.4524,2016,0.5718,0.2868,0.4231,3360,0.527,0.2648,0.4652,4704,0.4466,0.2251,0.5412,6048,0.3505,0.1768,0.6374
