Model,Method,BLEU-1,BLEU-2,ROUGE-L,METEOR,Failure AUROC,Failure AUPRC,Mean uncertainty,Accepted samples @50%,Accepted ROUGE-L @50%,Accepted METEOR @50%,Accepted failure rate @50%,Accepted samples @70%,Accepted ROUGE-L @70%,Accepted METEOR @70%,Accepted failure rate @70%,Accepted samples @90%,Accepted ROUGE-L @90%,Accepted METEOR @90%,Accepted failure rate @90%
llava_1_5_7b,Answer disagreement,0.1989,0.0074,0.2675,0.1353,0.7156,0.8606,0.0902,3360,0.4059,0.2036,0.5866,4704,0.3699,0.1857,0.6224,6048,0.2953,0.1484,0.6943
llava_1_5_7b,Question-aligned entropy,0.1989,0.0074,0.2675,0.1353,0.6485,0.8339,0.3069,3360,0.336,0.169,0.6518,4704,0.3341,0.168,0.6541,6048,0.295,0.1484,0.6938
llava_1_5_7b,AFD frequency,0.1989,0.0074,0.2675,0.1353,0.6939,0.8276,0.3176,3360,0.3779,0.1895,0.6167,4704,0.3608,0.1808,0.6337,6048,0.2931,0.1472,0.6976
llava_1_5_7b,Semantic AFD,0.1989,0.0074,0.2675,0.1353,0.661,0.8093,0.2769,3360,0.3543,0.1779,0.6366,4704,0.3331,0.1673,0.6586,6048,0.2941,0.1478,0.6956
llava_1_5_7b,Random baseline,0.1989,0.0074,0.2675,0.1353,0.5015,0.7171,0.4936,3360,0.269,0.1355,0.719,4704,0.2702,0.1362,0.7185,6048,0.2682,0.1352,0.7192
medgemma_4b_it,Answer disagreement,0.1951,0.0043,0.3477,0.1773,0.6949,0.7868,0.0373,3360,0.4983,0.2502,0.492,4704,0.4752,0.2388,0.5121,6048,0.386,0.1951,0.5957
medgemma_4b_it,Question-aligned entropy,0.1951,0.0043,0.3477,0.1773,0.6297,0.7789,0.2688,3360,0.4406,0.223,0.5351,4704,0.4357,0.2201,0.5449,6048,0.3835,0.194,0.5967
medgemma_4b_it,AFD frequency,0.1951,0.0043,0.3477,0.1773,0.6864,0.7561,0.1534,3360,0.4809,0.2413,0.508,4704,0.4743,0.2382,0.5136,6048,0.385,0.1944,0.5974
medgemma_4b_it,Semantic AFD,0.1951,0.0043,0.3477,0.1773,0.642,0.7273,0.0998,3360,0.4275,0.2151,0.5574,4704,0.4446,0.2241,0.5393,6048,0.3837,0.1939,0.5982
medgemma_4b_it,Random baseline,0.1951,0.0043,0.3477,0.1773,0.5038,0.6287,0.4936,3360,0.353,0.1788,0.6271,4704,0.3532,0.179,0.6271,6048,0.3494,0.177,0.6306
qwen2_5_vl_3b,Question-aligned entropy,0.2529,0.0138,0.3174,0.161,0.8122,0.9071,0.3205,3360,0.5385,0.2711,0.4488,4704,0.4482,0.2261,0.5387,6048,0.3531,0.1784,0.6338
qwen2_5_vl_3b,Answer disagreement,0.2529,0.0138,0.3174,0.161,0.8068,0.8912,0.0995,3360,0.556,0.2794,0.4366,4704,0.4476,0.2253,0.5402,6048,0.3533,0.1785,0.6334
qwen2_5_vl_3b,AFD frequency,0.2529,0.0138,0.3174,0.161,0.7937,0.8607,0.3165,3360,0.5356,0.2687,0.4595,4704,0.4444,0.2236,0.5453,6048,0.3491,0.1759,0.6399
qwen2_5_vl_3b,Semantic AFD,0.2529,0.0138,0.3174,0.161,0.7859,0.8562,0.2955,3360,0.527,0.2648,0.4652,4704,0.4466,0.2252,0.5412,6048,0.3505,0.1769,0.6374
qwen2_5_vl_3b,Random baseline,0.2529,0.0138,0.3174,0.161,0.5091,0.6678,0.4936,3360,0.322,0.1632,0.664,4704,0.3208,0.1624,0.6656,6048,0.3174,0.1605,0.6696
