Model,Method,BLEU-1,BLEU-2,ROUGE-L,METEOR,Failure AUROC,Failure AUPRC,Mean uncertainty,Accepted samples @50%,Accepted ROUGE-L @50%,Accepted METEOR @50%,Accepted failure rate @50%,Accepted samples @70%,Accepted ROUGE-L @70%,Accepted METEOR @70%,Accepted failure rate @70%,Accepted samples @90%,Accepted ROUGE-L @90%,Accepted METEOR @90%,Accepted failure rate @90%
llava_1_5_7b,Question-aligned entropy,0.19,0.0218,0.1527,0.139,0.8727,0.8612,0.2785,21,0.2463,0.2312,0.1429,30,0.2146,0.1855,0.2667,38,0.1772,0.1536,0.3684
llava_1_5_7b,Random baseline,0.19,0.0218,0.1527,0.139,0.5532,0.5038,0.4631,21,0.1737,0.1608,0.4286,30,0.1712,0.1531,0.4,38,0.1661,0.1462,0.4211
llava_1_5_7b,Semantic AFD,0.19,0.0218,0.1527,0.139,0.4537,0.4087,0.2857,21,0.1378,0.1255,0.4762,30,0.1426,0.1347,0.4667,38,0.1492,0.1282,0.4474
llava_1_5_7b,Answer disagreement,0.19,0.0218,0.1527,0.139,0.3102,0.3876,0.1069,21,0.09,0.0817,0.6667,30,0.1328,0.1293,0.5,38,0.1595,0.1435,0.4211
llava_1_5_7b,AFD frequency,0.19,0.0218,0.1527,0.139,0.1111,0.3317,0.5238,21,0.074,0.0564,0.7619,30,0.1265,0.1077,0.5333,38,0.1552,0.1337,0.4474
medgemma_4b_it,Question-aligned entropy,0.6224,0.2857,0.2186,0.1677,0.9388,0.8959,0.2635,21,0.3939,0.28,0.0,30,0.3091,0.2164,0.2,38,0.2751,0.1854,0.2632
medgemma_4b_it,Answer disagreement,0.6224,0.2857,0.2186,0.1677,0.5102,0.6154,0.0369,21,0.2121,0.1263,0.381,30,0.2848,0.2002,0.2667,38,0.2751,0.1854,0.2632
medgemma_4b_it,Semantic AFD,0.6224,0.2857,0.2186,0.1677,0.6645,0.5,0.0794,21,0.3117,0.2099,0.1905,30,0.297,0.2059,0.2333,38,0.2584,0.1775,0.3158
medgemma_4b_it,Random baseline,0.6224,0.2857,0.2186,0.1677,0.648,0.4555,0.4631,21,0.2771,0.1911,0.2857,30,0.2667,0.1821,0.3,38,0.256,0.1738,0.3158
medgemma_4b_it,AFD frequency,0.6224,0.2857,0.2186,0.1677,0.4107,0.2998,0.2222,21,0.2035,0.1135,0.381,30,0.2121,0.1344,0.4,38,0.2297,0.1499,0.3684
qwen2_5_vl_3b,Question-aligned entropy,0.2554,0.0877,0.1956,0.2248,0.8169,0.8759,0.246,21,0.277,0.3035,0.381,30,0.2672,0.2907,0.4,38,0.229,0.2484,0.5
qwen2_5_vl_3b,Semantic AFD,0.2554,0.0877,0.1956,0.2248,0.627,0.6378,0.246,21,0.2572,0.2916,0.4286,30,0.2342,0.2572,0.4667,38,0.223,0.2438,0.5
qwen2_5_vl_3b,Random baseline,0.2554,0.0877,0.1956,0.2248,0.595,0.617,0.4631,21,0.2157,0.2419,0.5238,30,0.2139,0.2344,0.5333,38,0.2122,0.2306,0.5526
qwen2_5_vl_3b,Answer disagreement,0.2554,0.0877,0.1956,0.2248,0.4096,0.5282,0.0926,21,0.2009,0.2243,0.619,30,0.1666,0.1854,0.6333,38,0.2001,0.2171,0.5789
qwen2_5_vl_3b,AFD frequency,0.2554,0.0877,0.1956,0.2248,0.2174,0.4382,0.5238,21,0.1088,0.1266,0.7619,30,0.1625,0.1804,0.6333,38,0.1979,0.212,0.5789
